tableau_prep_flow_update_at,MCST_CATEGORY_SET_NAME,MCST_DESCRIPTION,Program,MC_SEGMENT2,MSIB_INVENTORY_ITEM_ID,Part Number,End Assy Pegging Flag,Item Status,Make Buy Code,Full Lead Time,Planner Code,Planner,part_number_seed,program_name_seed,domain_seed
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12481534,NSS SERVICE ROUTING,,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12481535,NSS COPS ROUTING,,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12899691,987-9995-273,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12792665,PWB-FFF0-015,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12918636,ASM-0020-021,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12793654,922-0004-001,B,30,1,5,SCM,CM Software Distribution,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12929631,985-0325-003,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12674535,ASM-0020-003,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12899633,CCA-0014-001,B,30,1,20,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12941632,985-0381-003,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12897696,985-0280-008,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12897655,987-9995-274,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12899690,987-9995-271,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788740,768-5620-006,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12944751,966-8532-011,B,30,1,20,X08,"Hancock, Lynn",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12899694,987-9995-266,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788736,768-5620-023,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788745,768-5620-020,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12922639,966-8056-003,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12771660,985-0043-045,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12776672,987-2432-729,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12674531,FAB-0020-010,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12925644,985-0149-015,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12789646,ASM-0080-001,B,3N,1,0,T49,"Hancock, Lynn",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12674536,FAB-0020-009,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12925643,985-0149-017,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12789703,966-8539-002,X,3N,1,20,X08,"Hancock, Lynn",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12800676,822-3592-012,I,40,1,10,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12956704,ENV-0100-001,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12776646,966-6796-001,I,30,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12918709,985-0149-016,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12918707,985-1531-007,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12898667,966-4518-008,B,3N,1,12,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12897658,987-9995-210,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12789744,768-5620-002,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788746,768-5620-007,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12925642,985-1531-008,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788738,768-5620-026,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788739,768-5620-008,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12789746,768-5620-003,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788747,768-5620-014,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12789750,768-5620-025,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12674528,FAB-0020-011,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12562185,987-0782-211,B,30,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788748,768-5620-017,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12956755,ASM-0040-002,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12773626,NSS ENG-ROUTE-ATO,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12912631,985-0318-003,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788605,CCA-0013-001,X,20,1,0,X08,"Hancock, Lynn",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12944672,PWB-0028-001,B,10,1,0,160,"Phillips, Hannah",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12777721,987-2432-717,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12918708,985-0149-014,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12677595,FAB-0020-012,B,10,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12788741,768-5620-011,B,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12897654,987-9995-276,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12815714,FAB-0020-024,B,3N,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12774744,CCA-0001-001,B,3N,1,20,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12901830,966-3200-005,B,40,1,10,A13,"Pastor, Ashley",,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494529,BOOKING-DOLLARS,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494548,RCDWORKSHARE_COVER,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494549,MILESTONE-BILL-LNK,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494530,COLLINS PART NUMBERS,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494531,COMM'L-FINANCING,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494532,EXT-MAINTENANCE,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494533,EXT-WARRANTY,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494534,HW-MILESTONE,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494535,LICENSE-FEES,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494536,NON-RECUR-ENG,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494537,NON-RECUR-ENG-LINK,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494538,NON-STD-BUILD-LNK,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12546698,PN-NOTASSIGNED,,40,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494539,NON-STD-SAASM-LNK,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494540,NRE-MILESTONE,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494541,NRE-MILESTONE-LINK,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494542,PERFBASED PAYMENTS,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12494543,POCC CALCULATION,B,Active,1,0,,,,,
7/8/2025 2:52:06 PM,PROGRAM_DEFAULT,Program / LRU,COMMON,COMMON,12535390,PRICED-WARRANTY,,40,1,0,,,,,
