Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,23-Dec-24,Sat,
277-1017-010,Plan Build Qty,30-Dec-24,Sun,
277-1017-010,Plan Build Qty,30-Dec-24,Mon,
277-1017-010,Plan Build Qty,30-Dec-24,Tue,
277-1017-010,Plan Build Qty,30-Dec-24,Wed,
277-1017-010,Plan Build Qty,30-Dec-24,Thu,
277-1017-010,Plan Build Qty,30-Dec-24,Fri,
277-1017-010,Plan Build Qty,30-Dec-24,Sat,
277-1017-010,Plan Build Qty,06-Jan-25,Sun,
277-1017-010,Plan Build Qty,06-Jan-25,Mon,
277-1017-010,Plan Build Qty,06-Jan-25,Tue,
277-1017-010,Plan Build Qty,06-Jan-25,Wed,
277-1017-010,Plan Build Qty,06-Jan-25,Thu,
277-1017-010,Plan Build Qty,06-Jan-25,Fri,
277-1017-010,Plan Build Qty,06-Jan-25,Sat,
277-1017-010,Plan Build Qty,13-Jan-25,Sun,
277-1017-010,Plan Build Qty,13-Jan-25,Mon,
277-1017-010,Plan Build Qty,13-Jan-25,Tue,
277-1017-010,Plan Build Qty,13-Jan-25,Wed,
277-1017-010,Plan Build Qty,13-Jan-25,Thu,
277-1017-010,Plan Build Qty,13-Jan-25,Fri,
277-1017-010,Plan Build Qty,13-Jan-25,Sat,
277-1017-010,Plan Build Qty,20-Jan-25,Sun,
277-1017-010,Plan Build Qty,20-Jan-25,Mon,
277-1017-010,Plan Build Qty,20-Jan-25,Tue,
277-1017-010,Plan Build Qty,20-Jan-25,Wed,90
277-1017-010,Plan Build Qty,20-Jan-25,Thu,90
277-1017-010,Plan Build Qty,20-Jan-25,Fri,225
277-1017-010,Plan Delivery Qty,23-Dec-24,Sat,
277-1017-010,Plan Delivery Qty,30-Dec-24,Sun,
277-1017-010,Plan Delivery Qty,30-Dec-24,Mon,
277-1017-010,Plan Delivery Qty,30-Dec-24,Tue,
277-1017-010,Plan Delivery Qty,30-Dec-24,Wed,
277-1017-010,Plan Delivery Qty,30-Dec-24,Thu,
277-1017-010,Plan Delivery Qty,30-Dec-24,Fri,
277-1017-010,Plan Delivery Qty,30-Dec-24,Sat,
277-1017-010,Plan Delivery Qty,06-Jan-25,Sun,
277-1017-010,Plan Delivery Qty,06-Jan-25,Mon,
277-1017-010,Plan Delivery Qty,06-Jan-25,Tue,
277-1017-010,Plan Delivery Qty,06-Jan-25,Wed,
277-1017-010,Plan Delivery Qty,06-Jan-25,Thu,
277-1017-010,Plan Delivery Qty,06-Jan-25,Fri,
277-1017-010,Plan Delivery Qty,06-Jan-25,Sat,
277-1017-010,Plan Delivery Qty,13-Jan-25,Sun,
277-1017-010,Plan Delivery Qty,13-Jan-25,Mon,
277-1017-010,Plan Delivery Qty,13-Jan-25,Tue,
277-1017-010,Plan Delivery Qty,13-Jan-25,Wed,
277-1017-010,Plan Delivery Qty,13-Jan-25,Thu,
277-1017-010,Plan Delivery Qty,13-Jan-25,Fri,
277-1017-010,Plan Delivery Qty,13-Jan-25,Sat,
277-1017-010,Plan Delivery Qty,20-Jan-25,Sun,
277-1017-010,Plan Delivery Qty,20-Jan-25,Mon,
277-1017-010,Plan Delivery Qty,20-Jan-25,Tue,
277-1017-010,Plan Delivery Qty,20-Jan-25,Wed,
277-1017-010,Plan Delivery Qty,20-Jan-25,Thu,90
277-1017-010,Plan Delivery Qty,20-Jan-25,Fri,90
601-0600-008,Plan Build Qty,23-Dec-24,Sat,
601-0600-008,Plan Build Qty,30-Dec-24,Sun,
601-0600-008,Plan Build Qty,30-Dec-24,Mon,
601-0600-008,Plan Build Qty,30-Dec-24,Tue,
601-0600-008,Plan Build Qty,30-Dec-24,Wed,
601-0600-008,Plan Build Qty,30-Dec-24,Thu,
601-0600-008,Plan Build Qty,30-Dec-24,Fri,
601-0600-008,Plan Build Qty,30-Dec-24,Sat,
601-0600-008,Plan Build Qty,06-Jan-25,Sun,
601-0600-008,Plan Build Qty,06-Jan-25,Mon,
601-0600-008,Plan Build Qty,06-Jan-25,Tue,
601-0600-008,Plan Build Qty,06-Jan-25,Wed,
601-0600-008,Plan Build Qty,06-Jan-25,Thu,
601-0600-008,Plan Build Qty,06-Jan-25,Fri,
601-0600-008,Plan Build Qty,06-Jan-25,Sat,
601-0600-008,Plan Build Qty,13-Jan-25,Sun,
601-0600-008,Plan Build Qty,13-Jan-25,Mon,
601-0600-008,Plan Build Qty,13-Jan-25,Tue,
601-0600-008,Plan Build Qty,13-Jan-25,Wed,
601-0600-008,Plan Build Qty,13-Jan-25,Thu,
601-0600-008,Plan Build Qty,13-Jan-25,Fri,
601-0600-008,Plan Build Qty,13-Jan-25,Sat,
601-0600-008,Plan Build Qty,20-Jan-25,Sun,
601-0600-008,Plan Build Qty,20-Jan-25,Mon,
601-0600-008,Plan Build Qty,20-Jan-25,Tue,1395
601-0600-008,Plan Build Qty,20-Jan-25,Wed,
601-0600-008,Plan Build Qty,20-Jan-25,Thu,
601-0600-008,Plan Build Qty,20-Jan-25,Fri,
601-0600-008,Plan Delivery Qty,23-Dec-24,Sat,
601-0600-008,Plan Delivery Qty,30-Dec-24,Sun,
601-0600-008,Plan Delivery Qty,30-Dec-24,Mon,
601-0600-008,Plan Delivery Qty,30-Dec-24,Tue,
601-0600-008,Plan Delivery Qty,30-Dec-24,Wed,
601-0600-008,Plan Delivery Qty,30-Dec-24,Thu,
601-0600-008,Plan Delivery Qty,30-Dec-24,Fri,6
601-0600-008,Plan Delivery Qty,30-Dec-24,Sat,
601-0600-008,Plan Delivery Qty,06-Jan-25,Sun,
601-0600-008,Plan Delivery Qty,06-Jan-25,Mon,
601-0600-008,Plan Delivery Qty,06-Jan-25,Tue,
601-0600-008,Plan Delivery Qty,06-Jan-25,Wed,
601-0600-008,Plan Delivery Qty,06-Jan-25,Thu,
601-0600-008,Plan Delivery Qty,06-Jan-25,Fri,
601-0600-008,Plan Delivery Qty,06-Jan-25,Sat,
601-0600-008,Plan Delivery Qty,13-Jan-25,Sun,
601-0600-008,Plan Delivery Qty,13-Jan-25,Mon,
