Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,2025-09-22 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-09-29 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-10-06 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-10-13 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-10-20 00:00:00,Fri,765
277-1017-010,Plan Delivery Qty,2025-09-22 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-09-29 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-10-06 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-10-13 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-10-20 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-09-22 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-09-29 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-10-06 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-10-06 00:00:00,Mon,
