Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,20-Oct-25,Sat,
277-1017-010,Plan Build Qty,27-Oct-25,Sun,
277-1017-010,Plan Build Qty,27-Oct-25,Mon,
277-1017-010,Plan Build Qty,27-Oct-25,Tue,
277-1017-010,Plan Build Qty,27-Oct-25,Wed,
277-1017-010,Plan Build Qty,27-Oct-25,Thu,
277-1017-010,Plan Build Qty,27-Oct-25,Fri,
277-1017-010,Plan Build Qty,27-Oct-25,Sat,
277-1017-010,Plan Build Qty,3-Nov-25,Sun,
277-1017-010,Plan Build Qty,3-Nov-25,Mon,
277-1017-010,Plan Build Qty,3-Nov-25,Tue,
277-1017-010,Plan Build Qty,3-Nov-25,Wed,
277-1017-010,Plan Build Qty,3-Nov-25,Thu,
277-1017-010,Plan Build Qty,3-Nov-25,Fri,
277-1017-010,Plan Build Qty,3-Nov-25,Sat,
277-1017-010,Plan Build Qty,10-Nov-25,Sun,
277-1017-010,Plan Build Qty,10-Nov-25,Mon,
277-1017-010,Plan Build Qty,10-Nov-25,Tue,
277-1017-010,Plan Build Qty,10-Nov-25,Wed,
277-1017-010,Plan Build Qty,10-Nov-25,Thu,
277-1017-010,Plan Build Qty,10-Nov-25,Fri,
277-1017-010,Plan Build Qty,10-Nov-25,Sat,
277-1017-010,Plan Build Qty,17-Nov-25,Sun,
277-1017-010,Plan Build Qty,17-Nov-25,Mon,
277-1017-010,Plan Build Qty,17-Nov-25,Tue,
277-1017-010,Plan Build Qty,17-Nov-25,Wed,
277-1017-010,Plan Build Qty,17-Nov-25,Thu,360
277-1017-010,Plan Build Qty,17-Nov-25,Fri,
277-1017-010,Plan Delivery Qty,20-Oct-25,Sat,
277-1017-010,Plan Delivery Qty,27-Oct-25,Sun,
277-1017-010,Plan Delivery Qty,27-Oct-25,Mon,
277-1017-010,Plan Delivery Qty,27-Oct-25,Tue,
277-1017-010,Plan Delivery Qty,27-Oct-25,Wed,
277-1017-010,Plan Delivery Qty,27-Oct-25,Thu,
277-1017-010,Plan Delivery Qty,27-Oct-25,Fri,
277-1017-010,Plan Delivery Qty,27-Oct-25,Sat,
277-1017-010,Plan Delivery Qty,3-Nov-25,Sun,
277-1017-010,Plan Delivery Qty,3-Nov-25,Mon,
277-1017-010,Plan Delivery Qty,3-Nov-25,Tue,
277-1017-010,Plan Delivery Qty,3-Nov-25,Wed,
277-1017-010,Plan Delivery Qty,3-Nov-25,Thu,
277-1017-010,Plan Delivery Qty,3-Nov-25,Fri,
277-1017-010,Plan Delivery Qty,3-Nov-25,Sat,
277-1017-010,Plan Delivery Qty,10-Nov-25,Sun,
277-1017-010,Plan Delivery Qty,10-Nov-25,Mon,
277-1017-010,Plan Delivery Qty,10-Nov-25,Tue,
277-1017-010,Plan Delivery Qty,10-Nov-25,Wed,
277-1017-010,Plan Delivery Qty,10-Nov-25,Thu,
277-1017-010,Plan Delivery Qty,10-Nov-25,Fri,
277-1017-010,Plan Delivery Qty,10-Nov-25,Sat,
277-1017-010,Plan Delivery Qty,17-Nov-25,Sun,
277-1017-010,Plan Delivery Qty,17-Nov-25,Mon,
277-1017-010,Plan Delivery Qty,17-Nov-25,Tue,
277-1017-010,Plan Delivery Qty,17-Nov-25,Wed,
277-1017-010,Plan Delivery Qty,17-Nov-25,Thu,
277-1017-010,Plan Delivery Qty,17-Nov-25,Fri,360
601-0600-008,Plan Build Qty,20-Oct-25,Sat,
601-0600-008,Plan Build Qty,27-Oct-25,Sun,
601-0600-008,Plan Build Qty,27-Oct-25,Mon,
601-0600-008,Plan Build Qty,27-Oct-25,Tue,
601-0600-008,Plan Build Qty,27-Oct-25,Wed,
601-0600-008,Plan Build Qty,27-Oct-25,Thu,
601-0600-008,Plan Build Qty,27-Oct-25,Fri,
601-0600-008,Plan Build Qty,27-Oct-25,Sat,
601-0600-008,Plan Build Qty,3-Nov-25,Sun,
601-0600-008,Plan Build Qty,3-Nov-25,Mon,
601-0600-008,Plan Build Qty,3-Nov-25,Tue,
601-0600-008,Plan Build Qty,3-Nov-25,Wed,
601-0600-008,Plan Build Qty,3-Nov-25,Thu,
601-0600-008,Plan Build Qty,3-Nov-25,Fri,
601-0600-008,Plan Build Qty,3-Nov-25,Sat,
601-0600-008,Plan Build Qty,10-Nov-25,Sun,
601-0600-008,Plan Build Qty,10-Nov-25,Mon,
601-0600-008,Plan Build Qty,10-Nov-25,Tue,
601-0600-008,Plan Build Qty,10-Nov-25,Wed,1890
601-0600-008,Plan Build Qty,10-Nov-25,Thu,
601-0600-008,Plan Build Qty,10-Nov-25,Fri,
601-0600-008,Plan Build Qty,10-Nov-25,Sat,
601-0600-008,Plan Build Qty,17-Nov-25,Sun,
601-0600-008,Plan Build Qty,17-Nov-25,Mon,
601-0600-008,Plan Build Qty,17-Nov-25,Tue,
601-0600-008,Plan Build Qty,17-Nov-25,Wed,
601-0600-008,Plan Build Qty,17-Nov-25,Thu,
601-0600-008,Plan Build Qty,17-Nov-25,Fri,
601-0600-008,Plan Delivery Qty,20-Oct-25,Sat,
601-0600-008,Plan Delivery Qty,27-Oct-25,Sun,
