Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,2025-11-17 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-11-24 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-12-01 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-12-08 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-12-15 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-12-22 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-11-17 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-11-24 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-12-01 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-12-08 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-12-15 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-12-22 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-11-17 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-11-24 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-12-01 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-12-08 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-12-15 00:00:00,Sun,
