Item Delivery,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,20-Jan-25,Fri,
277-1017-010,Plan Build Qty,20-Jan-25,Sat,
277-1017-010,Plan Build Qty,27-Jan-25,Sun,
277-1017-010,Plan Build Qty,27-Jan-25,Mon,
277-1017-010,Plan Build Qty,27-Jan-25,Tue,
277-1017-010,Plan Build Qty,27-Jan-25,Wed,
277-1017-010,Plan Build Qty,27-Jan-25,Thu,
277-1017-010,Plan Build Qty,27-Jan-25,Fri,
277-1017-010,Plan Build Qty,27-Jan-25,Sat,
277-1017-010,Plan Build Qty,3-Feb-25,Sun,
277-1017-010,Plan Build Qty,3-Feb-25,Mon,
277-1017-010,Plan Build Qty,3-Feb-25,Tue,
277-1017-010,Plan Build Qty,3-Feb-25,Wed,
277-1017-010,Plan Build Qty,3-Feb-25,Thu,
277-1017-010,Plan Build Qty,3-Feb-25,Fri,
277-1017-010,Plan Build Qty,3-Feb-25,Sat,
277-1017-010,Plan Build Qty,10-Feb-25,Sun,
277-1017-010,Plan Build Qty,10-Feb-25,Mon,
277-1017-010,Plan Build Qty,10-Feb-25,Tue,
277-1017-010,Plan Build Qty,10-Feb-25,Wed,90
277-1017-010,Plan Build Qty,10-Feb-25,Thu,45
277-1017-010,Plan Build Qty,10-Feb-25,Fri,
277-1017-010,Plan Build Qty,10-Feb-25,Sat,
277-1017-010,Plan Build Qty,17-Feb-25,Sun,
277-1017-010,Plan Build Qty,17-Feb-25,Mon,225
277-1017-010,Plan Build Qty,17-Feb-25,Tue,
277-1017-010,Plan Build Qty,17-Feb-25,Wed,45
277-1017-010,Plan Build Qty,17-Feb-25,Thu,
277-1017-010,Plan Build Qty,17-Feb-25,Fri,315
277-1017-010,Plan Delivery Qty,20-Jan-25,Fri,
277-1017-010,Plan Delivery Qty,20-Jan-25,Sat,
277-1017-010,Plan Delivery Qty,27-Jan-25,Sun,
277-1017-010,Plan Delivery Qty,27-Jan-25,Mon,
277-1017-010,Plan Delivery Qty,27-Jan-25,Tue,
277-1017-010,Plan Delivery Qty,27-Jan-25,Wed,
277-1017-010,Plan Delivery Qty,27-Jan-25,Thu,
277-1017-010,Plan Delivery Qty,27-Jan-25,Fri,
277-1017-010,Plan Delivery Qty,27-Jan-25,Sat,
277-1017-010,Plan Delivery Qty,3-Feb-25,Sun,
277-1017-010,Plan Delivery Qty,3-Feb-25,Mon,
277-1017-010,Plan Delivery Qty,3-Feb-25,Tue,
277-1017-010,Plan Delivery Qty,3-Feb-25,Wed,
277-1017-010,Plan Delivery Qty,3-Feb-25,Thu,
277-1017-010,Plan Delivery Qty,3-Feb-25,Fri,
277-1017-010,Plan Delivery Qty,3-Feb-25,Sat,
277-1017-010,Plan Delivery Qty,10-Feb-25,Sun,
277-1017-010,Plan Delivery Qty,10-Feb-25,Mon,
277-1017-010,Plan Delivery Qty,10-Feb-25,Tue,
277-1017-010,Plan Delivery Qty,10-Feb-25,Wed,
277-1017-010,Plan Delivery Qty,10-Feb-25,Thu,90
277-1017-010,Plan Delivery Qty,10-Feb-25,Fri,45
277-1017-010,Plan Delivery Qty,10-Feb-25,Sat,
277-1017-010,Plan Delivery Qty,17-Feb-25,Sun,
277-1017-010,Plan Delivery Qty,17-Feb-25,Mon,
277-1017-010,Plan Delivery Qty,17-Feb-25,Tue,225
277-1017-010,Plan Delivery Qty,17-Feb-25,Wed,
277-1017-010,Plan Delivery Qty,17-Feb-25,Thu,45
277-1017-010,Plan Delivery Qty,17-Feb-25,Fri,
601-0600-008,Plan Build Qty,20-Jan-25,Fri,
601-0600-008,Plan Build Qty,20-Jan-25,Sat,
601-0600-008,Plan Build Qty,27-Jan-25,Sun,
601-0600-008,Plan Build Qty,27-Jan-25,Mon,
601-0600-008,Plan Build Qty,27-Jan-25,Tue,
601-0600-008,Plan Build Qty,27-Jan-25,Wed,
601-0600-008,Plan Build Qty,27-Jan-25,Thu,
601-0600-008,Plan Build Qty,27-Jan-25,Fri,
601-0600-008,Plan Build Qty,27-Jan-25,Sat,
601-0600-008,Plan Build Qty,3-Feb-25,Sun,
601-0600-008,Plan Build Qty,3-Feb-25,Mon,
601-0600-008,Plan Build Qty,3-Feb-25,Tue,
601-0600-008,Plan Build Qty,3-Feb-25,Wed,
601-0600-008,Plan Build Qty,3-Feb-25,Thu,
601-0600-008,Plan Build Qty,3-Feb-25,Fri,
601-0600-008,Plan Build Qty,3-Feb-25,Sat,
601-0600-008,Plan Build Qty,10-Feb-25,Sun,
601-0600-008,Plan Build Qty,10-Feb-25,Mon,
601-0600-008,Plan Build Qty,10-Feb-25,Tue,
601-0600-008,Plan Build Qty,10-Feb-25,Wed,
601-0600-008,Plan Build Qty,10-Feb-25,Thu,2115
601-0600-008,Plan Build Qty,10-Feb-25,Fri,
601-0600-008,Plan Build Qty,10-Feb-25,Sat,
601-0600-008,Plan Build Qty,17-Feb-25,Sun,
601-0600-008,Plan Build Qty,17-Feb-25,Mon,
601-0600-008,Plan Build Qty,17-Feb-25,Tue,
601-0600-008,Plan Build Qty,17-Feb-25,Wed,
601-0600-008,Plan Build Qty,17-Feb-25,Thu,
601-0600-008,Plan Build Qty,17-Feb-25,Fri,
601-0600-008,Plan Delivery Qty,20-Jan-25,Fri,
601-0600-008,Plan Delivery Qty,20-Jan-25,Sat,
601-0600-008,Plan Delivery Qty,27-Jan-25,Sun,
601-0600-008,Plan Delivery Qty,27-Jan-25,Mon,
601-0600-008,Plan Delivery Qty,27-Jan-25,Tue,
601-0600-008,Plan Delivery Qty,27-Jan-25,Wed,
601-0600-008,Plan Delivery Qty,27-Jan-25,Thu,
601-0600-008,Plan Delivery Qty,27-Jan-25,Fri,
601-0600-008,Plan Delivery Qty,27-Jan-25,Sat,
601-0600-008,Plan Delivery Qty,3-Feb-25,Sun,
601-0600-008,Plan Delivery Qty,3-Feb-25,Mon,
601-0600-008,Plan Delivery Qty,3-Feb-25,Tue,899
601-0600-008,Plan Delivery Qty,3-Feb-25,Wed,
601-0600-008,Plan Delivery Qty,3-Feb-25,Thu,
601-0600-008,Plan Delivery Qty,3-Feb-25,Fri,
601-0600-008,Plan Delivery Qty,3-Feb-25,Sat,
601-0600-008,Plan Delivery Qty,10-Feb-25,Sun,
601-0600-008,Plan Delivery Qty,10-Feb-25,Mon,
601-0600-008,Plan Delivery Qty,10-Feb-25,Tue,
601-0600-008,Plan Delivery Qty,10-Feb-25,Wed,
601-0600-008,Plan Delivery Qty,10-Feb-25,Thu,
601-0600-008,Plan Delivery Qty,10-Feb-25,Fri,
601-0600-008,Plan Delivery Qty,10-Feb-25,Sat,
601-0600-008,Plan Delivery Qty,17-Feb-25,Sun,
601-0600-008,Plan Delivery Qty,17-Feb-25,Mon,
601-0600-008,Plan Delivery Qty,17-Feb-25,Tue,
601-0600-008,Plan Delivery Qty,17-Feb-25,Wed,
601-0600-008,Plan Delivery Qty,17-Feb-25,Thu,
601-0600-008,Plan Delivery Qty,17-Feb-25,Fri,
766-0000-001,Plan Build Qty,20-Jan-25,Fri,
766-0000-001,Plan Build Qty,20-Jan-25,Sat,
766-0000-001,Plan Build Qty,27-Jan-25,Sun,
766-0000-001,Plan Build Qty,27-Jan-25,Mon,
766-0000-001,Plan Build Qty,27-Jan-25,Tue,
766-0000-001,Plan Build Qty,27-Jan-25,Wed,
766-0000-001,Plan Build Qty,27-Jan-25,Thu,
766-0000-001,Plan Build Qty,27-Jan-25,Fri,
766-0000-001,Plan Build Qty,27-Jan-25,Sat,
766-0000-001,Plan Build Qty,3-Feb-25,Sun,
766-0000-001,Plan Build Qty,3-Feb-25,Mon,
766-0000-001,Plan Build Qty,3-Feb-25,Tue,
