Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,5/19/2025 0:00,Sat,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Sun,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Mon,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Tue,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Wed,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Thu,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Fri,
277-1017-010,Plan Build Qty,5/26/2025 0:00,Sat,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Sun,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Mon,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Tue,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Wed,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Thu,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Fri,
277-1017-010,Plan Build Qty,6/2/2025 0:00,Sat,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Sun,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Mon,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Tue,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Wed,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Thu,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Fri,
277-1017-010,Plan Build Qty,6/9/2025 0:00,Sat,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Sun,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Mon,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Tue,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Wed,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Thu,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Fri,
277-1017-010,Plan Build Qty,6/16/2025 0:00,Sat,
277-1017-010,Plan Build Qty,6/23/2025 0:00,Sun,
277-1017-010,Plan Build Qty,6/23/2025 0:00,Mon,
277-1017-010,Plan Build Qty,6/23/2025 0:00,Tue,135
277-1017-010,Plan Build Qty,6/23/2025 0:00,Wed,
277-1017-010,Plan Build Qty,6/23/2025 0:00,Thu,
277-1017-010,Plan Build Qty,6/23/2025 0:00,Fri,
277-1017-010,Plan Delivery Qty,5/19/2025 0:00,Sat,
277-1017-010,Plan Delivery Qty,5/26/2025 0:00,Sun,
277-1017-010,Plan Delivery Qty,5/26/2025 0:00,Mon,
277-1017-010,Plan Delivery Qty,5/26/2025 0:00,Tue,
277-1017-010,Plan Delivery Qty,5/26/2025 0:00,Wed,
