Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,2025-07-21 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Mon,45
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-07-28 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-08-04 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Tue,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Fri,
277-1017-010,Plan Build Qty,2025-08-11 00:00:00,Sat,
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Sun,
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Mon,
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Tue,135
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Wed,
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Thu,
277-1017-010,Plan Build Qty,2025-08-18 00:00:00,Fri,135
277-1017-010,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Tue,45
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-07-28 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-08-04 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Wed,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Fri,
277-1017-010,Plan Delivery Qty,2025-08-11 00:00:00,Sat,
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Sun,
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Mon,
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Tue,
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Wed,135
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Thu,
277-1017-010,Plan Delivery Qty,2025-08-18 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-07-21 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Mon,1031
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-07-28 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-08-04 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Thu,1215
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Fri,
601-0600-008,Plan Build Qty,2025-08-11 00:00:00,Sat,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Sun,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Mon,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Tue,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Wed,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Thu,
601-0600-008,Plan Build Qty,2025-08-18 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-07-28 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-08-04 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Wed,1441
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Fri,
601-0600-008,Plan Delivery Qty,2025-08-11 00:00:00,Sat,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Sun,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Mon,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Tue,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Wed,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Thu,
601-0600-008,Plan Delivery Qty,2025-08-18 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-07-21 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Mon,12
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-07-28 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Mon,20
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-08-04 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Fri,
766-0000-001,Plan Build Qty,2025-08-11 00:00:00,Sat,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Sun,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Mon,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Tue,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Wed,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Thu,
766-0000-001,Plan Build Qty,2025-08-18 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Tue,12
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-07-28 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-08-04 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Mon,20
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Fri,
766-0000-001,Plan Delivery Qty,2025-08-11 00:00:00,Sat,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Sun,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Mon,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Tue,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Wed,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Thu,
766-0000-001,Plan Delivery Qty,2025-08-18 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-07-21 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-07-28 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-08-04 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Fri,
766-0000-001+TL,Plan Build Qty,2025-08-11 00:00:00,Sat,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Sun,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Mon,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Tue,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Wed,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Thu,
766-0000-001+TL,Plan Build Qty,2025-08-18 00:00:00,Fri,
766-0000-001+TL,Plan Delivery Qty,2025-07-21 00:00:00,Sat,
766-0000-001+TL,Plan Delivery Qty,2025-07-28 00:00:00,Sun,
