Item,RowDesc,Monday of Week,Weekday,mMatrixValue
277-1017-010,Plan Build Qty,8/18/2025 0:00,Sat,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Sun,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Mon,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Tue,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Wed,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Thu,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Fri,
277-1017-010,Plan Build Qty,8/25/2025 0:00,Sat,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Sun,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Mon,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Tue,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Wed,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Thu,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Fri,
277-1017-010,Plan Build Qty,9/1/2025 0:00,Sat,
277-1017-010,Plan Build Qty,9/8/2025 0:00,Sun,
277-1017-010,Plan Build Qty,9/8/2025 0:00,Mon,
277-1017-010,Plan Build Qty,9/8/2025 0:00,Tue,
277-1017-010,Plan Build Qty,9/8/2025 0:00,Wed,
277-1017-010,Plan Build Qty,9/8/2025 0:00,Thu,180
277-1017-010,Plan Build Qty,9/8/2025 0:00,Fri,405
277-1017-010,Plan Build Qty,9/8/2025 0:00,Sat,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Sun,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Mon,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Tue,225
277-1017-010,Plan Build Qty,9/15/2025 0:00,Wed,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Thu,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Fri,
277-1017-010,Plan Build Qty,9/15/2025 0:00,Sat,
277-1017-010,Plan Build Qty,9/22/2025 0:00,Sun,
277-1017-010,Plan Build Qty,9/22/2025 0:00,Mon,
277-1017-010,Plan Build Qty,9/22/2025 0:00,Tue,
277-1017-010,Plan Build Qty,9/22/2025 0:00,Wed,
277-1017-010,Plan Build Qty,9/22/2025 0:00,Thu,225
277-1017-010,Plan Build Qty,9/22/2025 0:00,Fri,360
277-1017-010,Plan Delivery Qty,8/18/2025 0:00,Sat,
277-1017-010,Plan Delivery Qty,8/25/2025 0:00,Sun,
277-1017-010,Plan Delivery Qty,8/25/2025 0:00,Mon,
277-1017-010,Plan Delivery Qty,8/25/2025 0:00,Tue,
277-1017-010,Plan Delivery Qty,8/25/2025 0:00,Wed,
277-1017-010,Plan Delivery Qty,8/25/2025 0:00,Thu,
