FISCAL_YEAR,FISCAL_MONTH,FISCAL_WEEK,FY Qty Rate,SEGMENT1
2025,Jan25,2,91,822-3639-001
2025,Feb25,5,2265,966-4333-003
2025,Mar25,10,2465,966-2052-205
2025,Mar25,11,2475,822-2904-211+TL
2025,Mar25,11,2475,987-9055-202
2025,Mar25,12,2532,822-1600-137+TL
2025,Apr25,14,2550,523-0780737
2025,Apr25,14,2550,766-0020-002
2025,Apr25,14,2550,822-1600-137+TL
2025,Apr25,14,2550,822-1873-002
2025,Apr25,14,2550,822-2013-001
2025,Apr25,14,2550,822-2062-001
2025,Apr25,14,2550,822-2093-104
2025,Apr25,14,2550,822-2093-511
2025,Apr25,14,2550,822-2347-404
2025,Apr25,14,2550,822-2347-424
2025,Apr25,14,2550,822-2904-111
2025,Apr25,14,2550,822-2904-111+TL
2025,Apr25,14,2550,822-2904-211
2025,Apr25,14,2550,822-2904-211+TL
2025,Apr25,14,2550,822-3078-002
2025,Apr25,14,2550,822-3078-002+TL
2025,Apr25,14,2550,822-3198-003
2025,Apr25,14,2550,822-3198-003+TL
2025,Apr25,14,2550,822-3267-601
2025,Apr25,14,2550,822-3267-602
2025,Apr25,14,2550,822-3267-602+TL
2025,Apr25,14,2550,822-3399-002
2025,Apr25,14,2550,822-3505-001
2025,Apr25,14,2550,822-3527-002
2025,Apr25,14,2550,822-3589-001
2025,Apr25,14,2550,822-3592-001
2025,Apr25,14,2550,822-3634-502
2025,Apr25,14,2550,822-3634-502+TL
2025,Apr25,14,2550,822-3696-401
2025,Apr25,14,2550,835-1032-010
2025,Apr25,14,2550,922-0003-001
2025,Apr25,14,2550,944-1543-001
2025,Apr25,14,2550,944-3986-002
2025,Apr25,14,2550,966-1237-011
2025,Apr25,14,2550,966-1831-004=R
2025,Apr25,14,2550,966-2083-244
2025,Apr25,14,2550,966-2083-524
2025,Apr25,14,2550,966-2083-964
2025,Apr25,14,2550,966-2083-974
2025,Apr25,14,2550,966-2700-003
2025,Apr25,14,2550,966-3648-001
2025,Apr25,14,2550,966-5505-003
2025,Apr25,14,2550,966-7297-302
2025,Apr25,14,2550,966-7964-004
2025,Apr25,14,2550,966-8303-003
2025,Apr25,14,2550,966-8460-002
2025,Apr25,14,2550,966-8532-021
2025,Apr25,14,2550,966-8572-001
2025,Apr25,14,2550,966-8574-001
2025,Apr25,14,2550,966-8660-002
2025,Apr25,14,2550,983-9834-904
2025,Apr25,14,2550,983-9834-910
2025,Apr25,14,2550,987-0001-220
2025,Apr25,14,2550,987-0018-654
2025,Apr25,14,2550,987-0018-654+PR
2025,Apr25,14,2550,987-0018-661
2025,Apr25,14,2550,987-0019-544
2025,Apr25,14,2550,987-1334-003
2025,Apr25,14,2550,987-2618-011
2025,Apr25,14,2550,987-2618-021
2025,Apr25,14,2550,987-2618-121
2025,Apr25,14,2550,987-2618-321
2025,Apr25,14,2550,987-3594-100
2025,Apr25,14,2550,987-6016-001
2025,Apr25,14,2550,987-8237-010
2025,Apr25,14,2550,987-8760-002
