"MSIB_INVENTORY_ITEM_ID","MSIB_SEGMENT1","MP_PLANNER_CODE","MP_ORGANIZATION_ID","MP_DESCRIPTION"
12784614,"987-2618-321","007",1213,"Thomas, Derek"
12797637,"987-9658-101","007",1213,"Thomas, Derek"
12784640,"987-2618-221+TL","007",1213,"Thomas, Derek"
12784641,"987-2618-321+TL","007",1213,"Thomas, Derek"
12545287,"987-2618-011","007",1213,"Thomas, Derek"
12545288,"987-2618-011+TL","007",1213,"Thomas, Derek"
12544762,"987-2618-021","007",1213,"Thomas, Derek"
12544763,"987-2618-021+TL","007",1213,"Thomas, Derek"
12552882,"987-2618-121","007",1213,"Thomas, Derek"
12553728,"987-2618-121+TL","007",1213,"Thomas, Derek"
12529643,"987-3593-302","007",1213,"Thomas, Derek"
12534356,"987-9658-001","007",1213,"Thomas, Derek"
12531341,"987-9658-001+TL","007",1213,"Thomas, Derek"
12546430,"987-9705-001","007",1213,"Thomas, Derek"
12546431,"987-9705-001+TL","007",1213,"Thomas, Derek"
12549505,"987-6097-020","007",1213,"Thomas, Derek"
12534662,"822-3697-001","007",1213,"Thomas, Derek"
12531311,"822-3697-001+TL","007",1213,"Thomas, Derek"
12783620,"987-2618-221","007",1213,"Thomas, Derek"
13089736,"987-9658-101+TL","007",1213,"Thomas, Derek"
13115713,"987-2618-421","007",1213,"Thomas, Derek"
12544034,"988-9359-002","060",1213,"OBSOLETE-ACTION COMPLETE"
12543401,"988-9360-002","060",1213,"OBSOLETE-ACTION COMPLETE"
12543553,"995-9504-253","060",1213,"OBSOLETE-ACTION COMPLETE"
12544606,"988-3120-003","060",1213,"OBSOLETE-ACTION COMPLETE"
12508861,"351-2737-080","060",1213,"OBSOLETE-ACTION COMPLETE"
12508917,"277-0791-010+SP","060",1213,"OBSOLETE-ACTION COMPLETE"
12513598,"391-0013-069","060",1213,"OBSOLETE-ACTION COMPLETE"
12534472,"966-7819-001","067",1213,"OBS NOT AVAILABLE"
12523802,"944-3773-102","067",1213,"OBS NOT AVAILABLE"
12523804,"944-3773-102+MP","067",1213,"OBS NOT AVAILABLE"
12552094,"988-7969-001","070",1213,"Arrow Blanket A/R"
